Year,Month,Gold_USD_m_mean,NFLX_AdjClose_m_mean
2023,2,1854.54,349.09789389473684
2023,3,1912.73,312.6030460869565
2023,4,2000.42,333.7436828421053
2023,5,1990.22,347.4600025909091
2023,6,1942.9,421.4580934761904
2023,7,1948.85,440.32799975
2023,8,1920.03,424.05869730434785
2023,9,1916.96,407.32199705
2023,10,1913.04,384.11909063636364
2023,11,1985.27,455.7157126190476
2023,12,2029.29,458.263326
